datetime,ticker,close,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2022-10-24,^MXX,47765.23828125,,,,0,1,0,0,1,1,0
2022-10-25,^MXX,48641.26953125,,,,0,0,0,0,0,0,0
2022-10-26,^MXX,49327.109375,,,,0,0,0,0,0,0,0
2022-10-27,^MXX,48892.55859375,,,,0,0,0,0,0,0,0
2022-10-28,^MXX,49086.30078125,,,,0,0,0,0,0,0,0
2022-10-31,^MXX,49922.30078125,,,,0,0,0,0,0,0,0
2022-11-01,^MXX,50864.8515625,,,,0,0,0,0,0,0,0
2022-11-03,^MXX,50215.87109375,,,,0,0,0,0,0,0,0
2022-11-04,^MXX,51173.75,,,,0,0,0,0,0,0,0
2022-11-07,^MXX,50760.171875,49664.9421875,47455.07727077648,51874.80710422352,0,0,0,0,0,0,0
2022-11-08,^MXX,50888.46875,49776.171875,47553.66820482796,51998.67554517204,0,0,0,0,0,0,0
2022-11-09,^MXX,50545.76171875,49840.304361979164,47675.148963248874,52005.459760709455,0,0,0,0,0,0,0
2022-11-10,^MXX,51031.7109375,49931.95102163462,47756.17679759035,52107.725245678885,0,0,0,0,0,0,0
2022-11-11,^MXX,51959.19921875,50076.75446428572,47722.17377930961,52431.335149261824,0,0,0,0,0,0,0
2022-11-14,^MXX,51785.12890625,50190.64609375,47756.24168775605,52625.05049974395,0,0,0,0,0,0,0
2022-11-15,^MXX,51655.6796875,50282.210693359375,47818.916689625374,52745.504697093376,0,0,0,0,0,0,0
2022-11-16,^MXX,51544.94140625,50356.48897058824,47894.02016624576,52818.957774930714,0,0,0,0,0,0,0
2022-11-17,^MXX,51360.87109375,50412.287977430555,47976.875202956486,52847.700751904624,0,0,0,0,0,0,0
2022-11-18,^MXX,51569.71875,50473.20538651316,48047.56051540788,52898.85025761844,0,0,0,0,0,0,0
2022-11-22,^MXX,51760.5390625,50537.5720703125,48107.442973594414,52967.70116703058,0,0,0,0,0,0,0
2022-11-23,^MXX,51993.94921875,50749.0076171875,48616.92905500472,52881.08617937027,0,0,0,0,0,0,0
2022-11-24,^MXX,51979.01171875,50915.8947265625,48963.53155212868,52868.25790099632,0,0,0,0,0,0,0
2022-11-25,^MXX,51668.640625,51032.9712890625,49204.890420314376,52861.05215781063,0,0,0,0,0,0,0
2022-11-28,^MXX,51081.328125,51142.409765625,49616.81309739635,52668.006433853654,0,0,0,0,0,0,0
2022-11-29,^MXX,50174.05859375,51196.79765625,49923.0692992283,52470.526013271694,0,0,0,0,0,0,0
2022-11-30,^MXX,51684.859375,51284.9255859375,50145.68715401628,52424.16401785871,0,1,0,0,1,1,0
2022-12-01,^MXX,51457.55078125,51314.560546875,50190.59879182849,52438.52230192151,0,0,0,0,0,0,0
2022-12-02,^MXX,51234.37109375,51365.485546875,50365.68847811621,52365.2826156338,0,0,0,0,0,0,0
2022-12-05,^MXX,50799.4609375,51346.77109375,50318.26281553589,52375.27937196411,0,0,0,0,0,0,0
2022-12-06,^MXX,51020.6484375,51359.794921875,50356.26913601723,52363.32070773277,0,0,0,0,0,0,0
2022-12-07,^MXX,50725.9609375,51351.66953125,50329.61476562651,52373.72429687349,0,0,0,0,0,0,0
2022-12-08,^MXX,51078.69921875,51378.31640625,50418.858773933694,52337.774038566306,0,0,0,0,0,0,0
2022-12-09,^MXX,50466.25,51350.043359375,50317.071410008255,52383.01530874174,0,0,0,0,0,0,0
2022-12-13,^MXX,50333.1015625,51268.7384765625,50183.01411911499,52354.46283401002,0,0,0,0,0,0,0
2022-12-14,^MXX,50047.69921875,51181.8669921875,49996.63929885227,52367.09468552272,0,0,0,0,0,0,0
2022-12-15,^MXX,49342.33984375,51066.2,49647.19984407502,52485.20015592498,1,0,0,1,0,1,0
2022-12-16,^MXX,49630.1484375,50970.4603515625,49433.947142179604,52506.97356094539,0,0,0,0,0,0,0
2022-12-19,^MXX,49946.1015625,50899.721875,49309.557517908834,52489.88623209117,0,0,0,0,0,0,0
2022-12-20,^MXX,50139.421875,50828.20703125,49236.26478407396,52420.14927842604,0,0,0,0,0,0,0
2022-12-21,^MXX,50426.26171875,50761.4931640625,49223.13226065522,52299.85406746978,0,0,0,0,0,0,0
2022-12-22,^MXX,50097.21875,50666.656640625,49216.89687647783,52116.416404772164,0,0,0,0,0,0,0
